epoch,loss,reconstruction,ssim,edge,structure,decode_consistency
1.0,0.2521862725654966,0.11784267670487704,0.18106890364324665,0.586034950634388,0.7605602526909685,0.2175786124040547
2.0,0.15991101048240378,0.07119782699790855,0.12621652875861075,0.3598372270459454,0.5063677040953615,0.14925795147135923
3.0,0.15178594859869785,0.06676595173265835,0.12501325359627535,0.3474474981018942,0.4800546001217681,0.14281670483824324
4.0,0.13551537849043058,0.059737472280383654,0.11247602744733906,0.30696973259046195,0.42433610902121077,0.13496409244325064
5.0,0.12711202019834084,0.056050558030163046,0.10572583272576877,0.2873127604388211,0.39589604208050255,0.13067270793258873
6.0,0.11932607706142886,0.052536451372585884,0.09944152069962732,0.2700018335525031,0.37023968150898745,0.12642823721039786
7.0,0.11235082783995698,0.04929219684712419,0.09374582304802115,0.2559445315129953,0.34763287342914706,0.12247067676287264
8.0,0.10569196886735964,0.046193356566199155,0.0881470360168039,0.24289806404886724,0.32600137739352986,0.11877733479215674
9.0,0.0990350775539739,0.04312163185260203,0.08256579561320614,0.22979780745832887,0.3041116155718015,0.11511626747781284
10.0,0.0930935799071914,0.04042234639615909,0.07760477542332862,0.21792226165669148,0.28416336633979455,0.11196610685352866
11.0,0.08703155654852521,0.03769532847749792,0.07261986003074472,0.20539661239169232,0.2636598677599811,0.10876848021326545
12.0,0.08185213333055309,0.03539573080565559,0.06847118759808475,0.194540485518572,0.24575340438242918,0.10613836485841503
13.0,0.07751521464760446,0.03348758748464593,0.06504570172257619,0.18516972101374304,0.2306745660631624,0.10394226642300004
14.0,0.07390047915143781,0.03191129103745228,0.06221216250228011,0.17723164530513494,0.21800132245505782,0.10212513064480808
15.0,0.0709521727355784,0.030633360428148754,0.05990820279404453,0.17062454806751312,0.20762652801732495,0.10068221587568657
16.0,0.06859873742987849,0.02959576958883979,0.05806491527383186,0.16533294389849384,0.19956532921897221,0.09946590221431702
17.0,0.06643378540669402,0.0286447373388939,0.056361455215166695,0.16035157709157086,0.19214757519974013,0.098411310362081
18.0,0.06480351036848271,0.027921701819725232,0.05503551995373208,0.15657699632045885,0.18669448563293234,0.0975991516590935
19.0,0.06332205961454132,0.02727248059526154,0.053817702754991786,0.15310708392564565,0.18167965185560592,0.09688977606288374
20.0,0.06208303119119716,0.026718563812712558,0.052789140101437156,0.1501725868887553,0.17764430835026584,0.09624985147896967
21.0,0.060988661577950604,0.026231356479703836,0.051864503317227646,0.14760021089691006,0.17406053026313106,0.09569580619942107
22.0,0.06003598868846893,0.02579998013618738,0.051041224639709684,0.14533055849271279,0.17103140622581522,0.09524433978208124
23.0,0.05923301833745551,0.025435232952849506,0.05033892229811786,0.14338117805586015,0.16852116409570114,0.09485434281499419
24.0,0.05856085800008687,0.025131027484270128,0.04975892678243384,0.14176695412832852,0.166412097236065,0.09448759152328587
25.0,0.057939603439953226,0.02484815446744975,0.04922063968497324,0.14026825795094716,0.16446966278158368,0.09418010373161809
26.0,0.05744132034259436,0.02462164024911719,0.04878729323273925,0.13906292928612396,0.16290496652052827,0.09394613849041669
27.0,0.05714541126774054,0.02448515023729981,0.04853482142975341,0.13834318554360572,0.16200694241922467,0.09377849076504577
28.0,0.056804339839443226,0.024331289086252723,0.04824564201102409,0.13751951975909543,0.16092437369638382,0.0936014523993344
29.0,0.05662952259302003,0.024253189714719035,0.048104686143735774,0.13710525647214014,0.16034989451912984,0.09351222705283121
30.0,0.05652960067079084,0.024208459565118294,0.04802622982900437,0.13685220473161028,0.16001872376423992,0.09348069520913847
