sample_id,degradation_operators,clean_path,clean_sha256,degraded_path,degraded_sha256,restored_path,restored_sha256,checkpoint_path,checkpoint_sha256,inference_config,seed,figure_reverse_scale_exact_pixels_percent,figure_reverse_scale_mae
qr_008724_moderate,print_scan+module_occlusion,qr_008724_moderate/clean.png,1991e4df37e16dc414a370414d3408b7d66c471d336b8d395ca5a46894c6c6e3,qr_008724_moderate/degraded.png,f0412508fc92edc06c99f9e1f1e8b06234d1fc4d2cb0ee171fe9bf8a4121cbc6,qr_008724_moderate/restored.png,080598a38d5bb86e62aada7f1c82330f9b069c057f9386ae8d6f00ad7e5480d5,checkpoints/phase3_pilot/best.pt,a0e1abf2c3241a360dc7f5a66936aa838ad5d170a2c4a2cc44db1b98ee7099d6,phase3_pilot.yaml;CPU;RGB;resize-128;range-0-1;no-AMP;model/EMA-state,42,99.456787,0.829366
qr_001505_moderate,module_occlusion+print_scan,qr_001505_moderate/clean.png,a27d479e5124a496da577ffe53f02949c182b4e15f6792a59e865f30da00cb45,qr_001505_moderate/degraded.png,77508bd985a26a71f88333a8e7e99eec00d2cf55cfcdbd4a883970f4d066abda,qr_001505_moderate/restored.png,31df5cae63454ee1077b141b5eb16311a0882345b3505a00a3be145fc45babd5,checkpoints/phase3_pilot/best.pt,a0e1abf2c3241a360dc7f5a66936aa838ad5d170a2c4a2cc44db1b98ee7099d6,phase3_pilot.yaml;CPU;RGB;resize-128;range-0-1;no-AMP;model/EMA-state,42,99.548340,1.136230
qr_000310_moderate,module_dropout+print_scan,qr_000310_moderate/clean.png,7de19a2f58f28b2a8c08dbf386a3ba5d6b987901a3ff1c102a7ae1fabbbd6e4c,qr_000310_moderate/degraded.png,81e129b67e7e78d1603df59230a32d06109a9d23341a6df224b8469daeb22878,qr_000310_moderate/restored.png,c1c33e6f5fbfcb7d69c92c29638361cd20a02ab345b0b5a2e0539b47a50dfe4e,checkpoints/phase3_pilot/best.pt,a0e1abf2c3241a360dc7f5a66936aa838ad5d170a2c4a2cc44db1b98ee7099d6,phase3_pilot.yaml;CPU;RGB;resize-128;range-0-1;no-AMP;model/EMA-state,42,99.945068,0.008097
qr_003747_moderate,module_occlusion+print_scan,qr_003747_moderate/clean.png,6ba33a30f331913a8046d5a2461fc085070ada0fa8ae5e1ab26390b24ab89a86,qr_003747_moderate/degraded.png,8b11be7fc63c33c10b2ecf738c9fed11b6285f40785f5991779e3622ff8c9625,qr_003747_moderate/restored.png,6f7052fc284e376a65ae05b6fb0f84a457c32627bba270fea17ba8cfe5c6123a,checkpoints/phase3_pilot/best.pt,a0e1abf2c3241a360dc7f5a66936aa838ad5d170a2c4a2cc44db1b98ee7099d6,phase3_pilot.yaml;CPU;RGB;resize-128;range-0-1;no-AMP;model/EMA-state,42,98.284912,3.133586
