variant,params,test_psnr,test_ssim,latency_ms,delta_psnr,delta_ssim
full_model,1476259,16.4523534166052,0.9503737294927557,79.49724099598825,0.0,0.0
without_mamba,1476259,16.885127767603446,0.9547370697589631,12.073367995908484,0.43277435099824757,0.004363340266207438
without_qr_structure_loss,1476259,17.209026529433878,0.9580150531961563,74.12841899669729,0.756673112828679,0.007641323703400649
without_decode_consistency_loss,1476259,17.33571861145344,0.9591436956791167,75.27521498501301,0.8833651948482419,0.008769966186361056
without_ema,1476259,17.1128003952351,0.957166960898866,74.29265097947791,0.6604469786299028,0.006793231406110323
without_refinement_decoder,1465248,19.220917661139307,0.9734007925429242,70.82787598017603,2.768564244534108,0.02302706305016855
